amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_en,nameOrig_en,nameDest_en
221420.51,6648016.21,6869436.72,1042561.5,821141.0,0,2470387,189140
629431.23,214049.0,0.0,1163.54,630594.77,1,1539353,42435
5521.12,51674.0,46152.88,0.0,0.0,3,5370346,1056331
2904.77,2041.0,0.0,0.0,0.0,3,1407999,2270140
274751.1,55268.44,0.0,0.0,274751.1,1,5757227,210193
116940.06,8006023.41,8122963.47,4174564.42,4057624.36,0,692201,433641
21050.76,0.0,0.0,1753480.45,1774531.2,1,1402087,552996
152046.3,91550.41,0.0,406602.59,558648.89,1,2737352,239920
291182.56,11149.0,0.0,580539.95,871722.51,1,114428,397085
1531.71,22881.0,21349.29,0.0,0.0,3,712117,621957
13845.29,0.0,0.0,2477960.52,2491805.8,1,1837954,255993
1188.95,0.0,0.0,0.0,0.0,3,322614,1678330
12667.7,374871.91,362204.22,0.0,0.0,3,806367,2312527
65516.41,115018.0,49501.59,0.0,65516.41,1,983582,241993
17457.41,0.0,0.0,0.0,0.0,3,4301148,703152
1015.43,0.0,0.0,0.0,0.0,3,3171722,2350716
96067.45,1646219.8,1742287.24,130578.67,443125.3,0,766623,197605
1604.03,210409.0,208804.97,0.0,0.0,3,208665,904684
14330.33,33848.77,19518.44,0.0,0.0,3,4477546,1015784
229110.92,19919.0,0.0,0.0,229110.92,1,1586312,433629
14057.22,0.0,0.0,0.0,0.0,3,5069974,1995653
14167.99,0.0,0.0,0.0,0.0,3,5116705,2463461
138340.69,58350.59,0.0,687441.78,825782.46,1,972126,307022
9021.0,105202.0,96181.0,0.0,0.0,3,2434581,2406770
85955.34,157044.0,242999.34,9356940.48,9270985.14,0,1662610,523891
132823.81,9132442.11,9265265.92,2725669.69,2592845.88,0,5107045,441502
422018.23,42596.0,464614.23,5966582.95,5895065.75,0,899367,127466
109480.44,35608.0,0.0,414605.48,524085.92,1,4585481,369622
386838.1,0.0,0.0,4301043.7,4687881.8,1,4335849,460291
306069.37,30735.0,336804.37,32902.0,0.0,0,6202919,535842
84782.1,105294.0,20511.9,325520.54,410302.64,1,4988850,456577
87999.13,5084256.68,5172255.81,11698441.45,11725918.02,0,1116730,527213
5733.6,20870.0,15136.4,0.0,0.0,3,416830,1648661
3842.48,20043.0,16200.52,0.0,0.0,3,881638,2176176
8772.84,31132.0,22359.16,0.0,0.0,3,968629,1077410
5038.94,2662.0,0.0,0.0,0.0,3,790560,1872476
32728.65,27874.0,0.0,0.0,0.0,3,5162700,1531714
519426.69,16722458.72,17241885.4,4663069.38,4143642.69,0,5962585,30308
406693.65,0.0,0.0,496364.06,984424.07,1,1626754,168282
351916.36,8083.0,359999.36,43059.3,0.0,0,1132316,429303
1926.85,607.0,0.0,0.0,0.0,3,1515602,1301691
3202.17,732.0,0.0,0.0,0.0,3,5038888,714582
144743.02,6017.0,0.0,644477.61,789220.62,1,946007,522689
853.36,1062.0,208.64,0.0,0.0,3,380416,722180
4986.64,0.0,0.0,0.0,0.0,3,4217344,959393
62040.38,0.0,0.0,2211814.58,2273854.97,1,3373423,179118
4740.25,0.0,0.0,486820.52,301703.03,1,4930611,568272
149869.26,50856.0,0.0,223911.52,651220.0,1,473624,172766
20304.22,31432.0,11127.78,12100.36,32404.59,1,3057421,275471
555624.58,147.0,0.0,164.23,693416.92,4,2032751,86953
12819.63,0.0,0.0,0.0,0.0,3,2602693,802962
1028852.71,20246.0,0.0,1041815.86,2070668.57,4,2363081,36053
283.6,5996440.38,5996723.97,1696189.39,1695905.79,0,2666902,563834
230630.03,3441454.26,3672084.3,979521.53,748891.49,0,2869068,188658
19578.16,5091.0,0.0,0.0,0.0,3,695818,1616971
785.1,193137.28,192352.18,0.0,0.0,3,6181560,2445049
17899.13,11692.0,0.0,0.0,0.0,3,113705,2391619
82914.11,11220.0,94134.11,373996.4,291082.29,0,920270,77497
105677.03,0.0,0.0,2456909.13,2562586.16,1,1574688,380583
273064.49,0.0,0.0,1288210.57,1561275.07,1,497388,502304
5130.06,18605.39,13475.33,0.0,0.0,3,3401606,1940657
29175.35,40169.0,10993.65,0.0,0.0,3,2256766,2671431
21391.53,42287.0,20895.47,0.0,21391.53,1,30451,489671
81595.54,20791.0,0.0,17605.25,99200.79,1,1183888,319622
29577.2,153200.0,123622.8,0.0,0.0,3,5235580,1269327
253979.48,10760.0,0.0,468545.46,722524.93,1,469511,395643
9554.61,0.0,0.0,0.0,0.0,3,1193104,2225979
25634.56,0.0,0.0,203974.01,229608.56,1,5551141,109358
213399.85,94501.0,0.0,4928202.9,5141602.75,4,1273915,409950
13195.74,0.0,0.0,0.0,0.0,3,5380753,1671389
245481.3,0.0,0.0,699504.78,944986.08,1,1281975,502902
173663.28,185.0,0.0,7831.0,181494.29,1,1881775,287624
174230.84,20723.0,194953.84,0.0,0.0,0,5954533,204524
704477.84,0.0,0.0,1268527.8,1973005.63,4,4471758,430458
21310.21,20668.0,41978.21,88082.21,66772.0,0,2865011,299586
14554.54,0.0,0.0,1393557.3,1152887.32,1,1271426,564824
2981.95,41003.0,38021.05,0.0,0.0,3,5079362,2415124
30656.51,8447254.69,8477911.2,1652056.45,1621399.93,0,1356291,133202
139046.77,275.0,0.0,613514.29,752561.06,1,3804526,256616
56403.43,9206963.6,9263367.04,1477712.19,1421308.76,0,2322650,199895
112562.54,30133.0,0.0,0.0,0.0,1,1339302,72236
20419.19,1830.0,0.0,0.0,0.0,3,5845266,1717506
884.31,1011.0,126.69,0.0,0.0,3,5706683,1042513
194605.15,179833.0,0.0,218530.16,413135.31,4,186584,136709
408068.76,3020954.94,3429023.71,3993259.28,3585190.52,0,4662113,549505
148278.59,0.0,0.0,559236.84,707515.43,1,3490141,73094
3227.2,14432.0,11204.8,0.0,0.0,3,3891364,2655829
133027.88,27144.0,0.0,220791.5,353819.38,1,69317,39788
49939.64,262.0,0.0,74139.08,124078.72,1,1432424,332157
14129.62,9301.0,0.0,0.0,0.0,3,128063,610075
281978.35,9947.0,291925.35,737.0,230390.92,0,5159501,70649
95504.16,55753.0,0.0,616691.11,712195.27,1,4219110,339872
558073.69,0.0,0.0,783207.52,1341281.21,4,1566526,85495
62351.34,75280.0,12928.66,517241.0,674805.07,1,256047,451172
11971.69,94298.0,82326.31,0.0,0.0,3,538506,2060872
77544.27,680274.4,757818.67,715136.74,637592.47,0,1269085,552651
251510.3,31041.0,0.0,0.0,251510.3,1,1390309,543802
122967.11,0.0,0.0,315922.83,438889.94,1,2408552,568502
251952.25,8240.0,260192.25,1085036.02,833083.76,0,1126178,292031
20020.61,141116.61,121096.01,0.0,0.0,3,3200150,2171612
2748.6,0.0,0.0,0.0,0.0,3,430977,1021871
175825.01,0.0,0.0,178594.62,354419.63,1,3947632,430665
25106.06,0.0,0.0,0.0,0.0,3,742815,1886402
57023.97,20982.0,0.0,1004178.35,1061202.32,1,5929889,555775
74103.27,259671.74,185568.47,257370.23,331473.5,1,1693616,299841
37891.64,52001.0,14109.36,0.0,37891.64,1,822429,390472
35086.5,4395781.93,4430868.43,292022.69,256936.19,0,897053,254761
82534.5,773595.05,856129.55,11292790.52,11210256.02,0,4461442,203845
301.03,319073.96,318772.94,0.0,0.0,3,5126397,986537
393456.7,1555.0,0.0,41056.34,434513.04,1,3394103,301296
118863.93,0.0,0.0,140889.72,259753.65,1,1718900,481540
1561.78,0.0,0.0,139168.9,140730.68,1,4985748,196014
404770.93,31400.0,436170.93,269953.19,0.0,0,4672162,146675
7166.88,0.0,0.0,0.0,0.0,3,3995493,780281
499380.8,1434413.45,1933794.24,626865.52,127484.73,0,608826,161953
13119.97,15326.0,2206.03,0.0,0.0,3,1648618,792729
19358.73,0.0,0.0,537629.53,556988.26,1,559084,125128
7519.23,0.0,0.0,0.0,0.0,3,763266,835818
11361.68,51542.0,40180.32,0.0,0.0,3,2007613,1657252
118961.3,0.0,0.0,1506057.47,1625018.77,1,2694528,229408
4341.45,0.0,0.0,0.0,0.0,3,1234155,2338814
148070.97,2002.0,0.0,2515489.7,2663560.67,1,2207531,332205
12492.84,468.22,0.0,0.0,0.0,3,4119363,837410
6473.04,41299.72,34826.68,0.0,0.0,3,4717255,1718670
12665.89,0.0,0.0,0.0,0.0,3,5437256,2437509
10976.29,148427.0,137450.71,0.0,0.0,3,1849011,1982082
18397.48,0.0,0.0,0.0,0.0,3,5237960,1544821
138507.0,5523.0,144030.0,786575.37,648068.37,0,5562919,443344
6964.41,2716.0,0.0,0.0,0.0,3,2517657,941039
370220.37,20071.0,390291.37,89778.12,0.0,0,1406380,234823
23164.18,20734.0,0.0,1834872.55,1858036.73,1,1220966,115473
1604990.9,0.0,0.0,3017624.0,4622614.9,4,4211290,194597
26276.22,227103.52,200827.3,0.0,0.0,3,5329776,1457440
173404.28,16728.0,0.0,1366828.92,1540233.19,1,5764944,466505
3714.61,5038.0,1323.39,0.0,0.0,3,5253151,1083257
315231.94,50952.0,0.0,0.0,315231.94,1,5298299,159433
6136.09,219972.52,213836.44,0.0,0.0,3,1920885,2280755
46627.9,0.0,0.0,0.0,0.0,3,5301544,2260530
72955.07,12177753.68,12250708.75,1868927.57,1795972.5,0,4540933,47140
418737.13,2817457.18,3236194.31,2459896.18,2041159.05,0,4658259,316409
453595.03,0.0,0.0,680669.24,1134264.27,4,3486369,559457
315238.19,11054.0,0.0,514899.77,830137.96,1,3634181,49105
363.12,740530.27,740167.15,0.0,0.0,3,3596564,1421552
15808.02,0.0,0.0,73507.28,89315.3,1,1021375,419802
6380.8,53642.0,47261.2,560372.09,566752.89,1,5110418,528728
238453.09,4022912.78,4261365.87,3319125.16,3080672.07,0,6036298,514462
571289.71,4699959.64,5271249.35,875173.27,352035.21,0,4551587,472520
32068.6,524466.65,492398.05,0.0,0.0,3,3398761,1667722
205114.46,8831862.42,9036976.87,315653.79,110539.34,0,1585497,488026
73805.84,7469788.39,7543594.23,425152.49,351346.65,0,6050235,279677
1140474.16,0.0,0.0,3434546.68,4575020.84,4,5743333,148389
16017.72,0.0,0.0,0.0,0.0,3,4371679,1797666
113025.04,898054.15,1011079.18,1221272.8,1108247.77,0,3569104,175278
41663.47,0.0,0.0,1702851.31,1744514.79,1,5605612,509127
144375.1,0.0,0.0,520757.02,665132.12,1,3149819,7040
80793.14,130496.0,211289.14,216790.66,135997.52,0,809690,12405
106987.51,0.0,0.0,1279502.5,1386490.0,1,5812059,28743
11290.06,36051.0,24760.94,0.0,0.0,3,506901,841880
35661.78,440.0,36101.78,3339.11,0.0,0,361914,21284
132195.25,0.0,0.0,388634.6,520829.86,4,2305610,177276
7622.01,4829.0,0.0,448988.2,901763.84,1,210680,6931
84709.85,62572.18,0.0,2848932.61,2933642.46,1,1791521,460096
3393.07,0.0,0.0,0.0,0.0,3,1466256,1271625
34975.52,0.0,0.0,39898.14,74873.66,1,5314829,301430
1271.01,1881.0,609.99,2573079.77,2574350.78,2,5625761,263827
7284.29,0.0,0.0,0.0,0.0,3,5634899,2606373
16693.07,10200.0,0.0,0.0,0.0,3,5604848,1808664
324731.73,23151.0,0.0,0.0,324731.73,1,4055818,477352
66603.69,11575368.71,11641972.4,2303154.41,2236550.72,0,4639996,445569
462668.1,0.0,0.0,11899495.58,12362163.68,1,729674,410376
1948.37,18736.09,16787.71,0.0,0.0,3,5304590,797800
226323.76,0.0,0.0,233062.73,459386.48,1,1660218,533929
70790.59,0.0,0.0,2379601.45,2450392.04,1,4235989,499263
3074.2,41519.0,38444.8,0.0,0.0,3,1721404,855466
85180.51,0.0,0.0,439358.55,783681.46,1,863382,66403
77425.18,0.0,0.0,1783099.45,1860524.63,1,4171010,299071
85848.84,10736.0,0.0,0.0,0.0,3,804607,1447183
70622.64,0.0,0.0,644400.31,715022.95,1,5925878,505627
60111.05,0.0,0.0,112552.07,172663.12,1,913214,235177
3635328.11,10436.0,0.0,273252.13,3908580.24,4,5510838,158094
394788.96,46109.0,0.0,878562.21,1273351.17,1,4806058,294713
7545.25,21532.0,13986.75,0.0,0.0,3,3802874,628187
513625.95,12561.0,0.0,17469.41,436980.32,1,2007146,511030
273427.82,1517274.09,1790701.91,2998807.06,2725379.24,0,5913199,369380
2607.6,21639.0,19031.4,0.0,0.0,3,1389279,1399698
816.44,0.0,0.0,0.0,0.0,3,495819,2488778
152123.98,15295473.64,15447597.61,235400.03,83276.05,0,5721577,246090
193327.4,8163932.05,8357259.46,198540.64,5213.23,0,2710488,537938
8321.61,19643.0,11321.39,0.0,0.0,3,172792,2562111
9334.66,1957.31,0.0,0.0,0.0,3,32563,1641605
508328.07,0.0,0.0,1127221.4,1635549.47,1,3205263,123739
186551.83,60791.0,0.0,82330.27,268882.1,1,239899,157438
114626.33,6026.0,120652.33,0.0,0.0,0,2971995,516678
65523.58,933.0,0.0,0.0,0.0,3,3245182,1635597
279993.03,0.0,0.0,976646.65,1256639.68,1,1833153,246668
23576.28,677285.96,653709.69,0.0,0.0,3,4619887,1018646
341710.58,50416.0,392126.58,158876.25,0.0,0,67855,342723
14842.26,32048.45,17206.19,0.0,0.0,3,298085,816649
11997957.55,0.0,0.0,12447196.39,24445153.94,4,723622,526331
89068.41,14740.0,103808.41,2990615.54,2901547.13,0,2359134,226403
440680.07,15841.0,0.0,3743431.87,4184111.94,1,6118166,205169
523111.11,0.0,0.0,1583965.36,2107076.47,4,367979,229517
10615.04,39125.36,28510.31,0.0,0.0,3,2187320,883579
132552.28,0.0,0.0,229276.28,361828.56,1,5994203,277639
98975.8,3825123.06,3924098.85,160840.74,61864.94,0,4166878,82421
2136.11,550023.88,547887.77,0.0,0.0,3,3317347,2278006
34749.34,56772.0,22022.66,0.0,34749.34,1,3999544,507844
203737.03,0.0,0.0,316220.57,519957.6,4,525600,387329
100969.53,745206.68,644237.16,1120287.73,1221257.26,1,1868136,3026
166922.22,9704.0,0.0,0.0,166922.22,4,5706446,322093
20246.79,30244.0,9997.21,0.0,0.0,3,1983053,2310344
500698.98,316628.0,0.0,19859.0,0.0,4,6244499,100300
151663.59,147.0,0.0,0.0,151663.59,1,3030398,226327
224391.54,1270931.64,1495323.18,357207.67,132816.13,0,858389,209768
888887.16,0.0,0.0,1691575.02,2580462.19,4,4210130,305035
38749.56,6065.0,0.0,0.0,0.0,3,4135693,1081604
23709.5,38254.0,14544.5,0.0,0.0,3,1912803,658789
1002.99,12118.0,11115.01,0.0,0.0,3,2614725,1410272
988204.68,0.0,0.0,1826796.49,2815001.17,4,6216500,542029
78946.39,91851.0,170797.39,428287.89,349341.5,0,4658560,10732
3858.9,205800.28,201941.38,0.0,0.0,3,2113075,698175
13546.09,0.0,0.0,114223.18,127769.28,1,5694487,136861
1399.22,0.0,0.0,0.0,0.0,3,416844,835196
242030.09,9325194.11,9567224.2,483873.6,241843.51,0,4143676,83103
25845.83,0.0,0.0,0.0,0.0,3,2858721,1090796
4.9,96062.26,96057.36,0.0,0.0,3,1253186,1256246
19406.28,190270.6,170864.31,0.0,0.0,3,430805,1888363
22036.15,105809.0,83772.85,0.0,0.0,3,4689227,2293734
68665.93,8171033.95,8239699.88,812274.7,743608.77,0,3703568,461493
15897.57,38430.0,22532.43,0.0,0.0,3,1481857,955395
87250.03,0.0,0.0,2075912.87,2163162.9,1,1784264,116729
67147.7,1330147.22,1397294.92,124128.2,56980.49,0,4902990,368159
211226.92,40635.0,0.0,0.0,211226.92,1,4365320,476145
12395.85,51213.96,38818.11,0.0,0.0,3,233893,1920663
285632.03,52243.71,337875.74,0.0,0.0,0,5981379,96651
21013.18,0.0,0.0,0.0,0.0,3,5530375,2045100
4425.8,0.0,0.0,0.0,0.0,3,5182294,2041391
133241.13,10843787.86,10977028.98,346080.19,212839.07,0,5784176,128768
4640.44,31844.0,27203.56,0.0,0.0,3,4215735,1408793
427503.76,27624.0,0.0,613947.4,1041451.16,1,3976149,566012
165190.18,0.0,0.0,1219248.52,1384438.7,1,1631834,98899
231894.75,25644.0,0.0,202654.11,434548.86,4,6283450,78544
134528.85,0.0,0.0,271816.43,406345.27,1,957096,476652
4553.12,0.0,0.0,0.0,0.0,3,3666956,2462101
16050.32,24360.73,8310.41,0.0,0.0,3,3934841,2664336
8988.85,7833.0,0.0,0.0,0.0,3,3961817,2406673
238805.3,0.0,0.0,263026.76,501832.06,1,2760840,285883
533315.62,0.0,0.0,1514949.19,2541728.38,1,3704587,154095
17455.94,11155.0,0.0,0.0,0.0,3,174256,2387651
3752.41,10166.0,6413.59,0.0,0.0,3,2336646,1881870
595.67,0.0,0.0,0.0,0.0,3,862668,2208476
49194.93,20683.0,0.0,942001.33,991196.27,1,3230635,275316
17647.97,0.0,0.0,0.0,0.0,3,914883,1712537
217365.58,0.0,0.0,1493343.36,1710708.94,4,3657024,541237
349.91,102155.0,101805.09,0.0,0.0,3,2395844,2333854
2847.67,0.0,0.0,0.0,0.0,3,2170660,1089955
328660.16,24643605.65,24972265.81,743203.72,414543.57,0,5671831,492664
691694.36,741162.4,1432856.76,4897628.17,4205933.81,0,5995265,1314
355077.74,0.0,355077.74,3149408.32,2794330.58,0,24415,479089
77380.14,0.0,0.0,97492.46,174872.6,1,5463560,446326
118105.95,17071.01,0.0,439941.66,558047.61,1,2109436,466630
8200.25,11440.0,3239.75,0.0,0.0,3,1783096,2158966
294938.98,12348.0,307286.98,0.0,0.0,0,6191991,201253
285143.18,6460.0,0.0,87870.7,373013.88,1,1214404,485938
451718.08,11778.0,0.0,49393.6,501111.68,4,5415761,116380
145514.28,572.0,146086.28,0.0,0.0,0,3633256,87073
1416.92,172461.86,171044.94,0.0,0.0,3,4431471,2400910
324633.29,0.0,0.0,4240563.47,4565196.77,1,2644042,522161
356037.76,214.0,356251.76,0.0,0.0,0,166186,382433
388.04,5551.0,5162.96,0.0,0.0,3,1181404,1418696
13382.68,0.0,0.0,473907.47,604567.47,1,119902,279626
108722.4,7101.0,0.0,3671.88,112394.28,1,2937681,361914
10980.99,16032.0,5051.01,346728.3,416843.68,1,158348,323734
9117.31,308153.0,299035.69,0.0,0.0,3,2619589,1955143
44357.36,240.0,0.0,0.0,0.0,3,5493467,603479
10215.92,127247.2,117031.29,0.0,0.0,3,5670812,607937
17555.22,0.0,0.0,0.0,0.0,3,2349595,1167666
249873.27,0.0,0.0,370895.8,620769.07,1,315662,295139
20853.31,3076.0,0.0,0.0,0.0,3,4242189,578206
151597.36,0.0,0.0,3082085.02,3233682.38,1,632521,438851
232585.8,165562.0,0.0,2026650.21,2259236.01,1,2151687,252054
193646.85,0.0,0.0,1584289.82,1777936.67,1,1013355,409567
2919.72,10785.0,7865.28,106272.31,109192.03,2,4365220,465441
35025.56,0.0,0.0,106238.48,1966850.36,1,2698579,95828
68342.8,51719.0,0.0,637737.06,565812.34,1,2149510,253525
165172.6,2590140.06,2755312.66,221628.29,56455.69,0,1747090,350624
230990.44,0.0,0.0,1532626.25,1945749.16,1,4651167,249543
274808.04,0.0,0.0,2584820.79,3960902.05,1,6103079,367835
45786.65,2476041.25,2521827.9,171283.58,125496.93,0,6184189,330324
200268.44,20640.0,0.0,477756.06,678024.5,1,1205429,99666
191353.18,4521524.76,4712877.93,593960.23,402607.06,0,3973715,238716
22774.91,0.0,0.0,0.0,0.0,3,5137565,2565124
9063.08,242587.29,233524.21,0.0,0.0,3,3769863,1333038
160816.78,8027878.52,8188695.3,909528.68,748711.9,0,2729192,446551
3536.98,2241.22,0.0,0.0,0.0,3,1254978,1588558
210219.54,2908442.89,3118662.43,641613.97,431394.43,0,1452025,500610
133262.43,0.0,0.0,744444.35,877706.78,1,3978817,116062
2704.36,278488.58,275784.22,0.0,0.0,3,2138849,588277
230292.27,2083.0,0.0,112441.92,335241.68,1,6298769,406099
423485.76,49659.0,0.0,0.0,423485.76,1,2315297,182773
330688.35,1076294.1,1406982.45,1213810.2,883121.85,0,4749717,236182
40449.91,0.0,0.0,3027081.91,3067531.82,1,5192619,309647
476298.8,0.0,0.0,2010463.39,2486762.19,1,4583232,271132
132043.51,0.0,0.0,2711094.9,2704640.12,1,4473827,163047
647.86,20912.0,20264.14,0.0,0.0,3,4830732,698913
25764.72,154263.0,128498.28,0.0,0.0,3,3915980,2079473
34958.7,81227.0,46268.3,0.0,34958.7,1,3427527,128250
12877.22,740280.0,727402.78,0.0,0.0,3,191282,1335458
312850.64,30496.0,343346.64,0.0,0.0,0,674776,176507
2855.88,58594.0,55738.12,0.0,0.0,3,928644,2668866
111341.32,367645.87,256304.56,544458.75,655800.07,1,3581598,305153
624723.54,82815.0,707538.54,221351.15,0.0,0,4667645,209625
21766.78,0.0,0.0,0.0,0.0,3,715540,720897
172865.19,6652090.2,6824955.39,6259226.34,7428081.5,0,4462628,238362
141892.33,40242.0,182134.33,0.0,0.0,0,658595,329021
27246.51,1081.0,0.0,0.0,0.0,3,4670102,1022103
30939.15,45410.95,14471.81,0.0,0.0,3,432089,1324874
72053.03,0.0,0.0,471628.0,499311.82,1,1584175,348443
3285.57,0.0,0.0,0.0,0.0,3,2256599,2407977
3545.07,198896.35,195351.28,0.0,0.0,3,3167059,1159013
1555.53,0.0,0.0,0.0,0.0,3,3789758,690227
216803.7,31471.0,0.0,735043.84,951847.53,1,3511043,45481
206010.19,4171222.97,4377233.16,682863.34,476853.15,0,5777702,198780
20916.73,0.0,0.0,0.0,0.0,3,1888492,2658654
40052.27,21440.0,0.0,3766586.72,3806638.98,4,1840906,414454
122300.72,51484.0,0.0,0.0,122300.72,1,124616,543824
363240.27,0.0,0.0,681084.43,1044324.7,1,1691117,105422
98094.55,0.0,0.0,970471.07,1068565.62,1,880147,222327
1945.62,19942.0,17996.38,0.0,0.0,3,2651958,1917427
215151.03,0.0,0.0,605742.76,820893.79,1,2266053,205570
287307.77,0.0,0.0,1069474.0,1356781.77,1,2399613,302785
407359.73,1692102.35,2099462.08,1529631.96,1122272.22,0,4233143,519125
369672.98,0.0,0.0,2783044.96,3152717.93,1,6172894,552358
6181.62,0.0,0.0,0.0,0.0,3,159765,1517618
19809.05,124243.53,104434.48,0.0,0.0,3,4755745,769732
341986.68,0.0,0.0,810210.16,1525083.7,1,1981181,168632
4466.85,1722.1,0.0,0.0,0.0,3,5059171,2224651
314758.83,10791.0,325549.83,145219.51,0.0,0,1838377,175155
58905.66,0.0,0.0,196558.77,255464.43,4,2616814,401447
10564.56,0.0,0.0,0.0,0.0,3,2289990,1880523
102450.39,33190.0,0.0,0.0,102450.39,1,5527688,262855
22161.32,51785.0,29623.68,0.0,0.0,3,1953841,647356
106790.47,60027.0,0.0,153215.55,260006.01,1,5278825,159718
9813.34,0.0,0.0,0.0,0.0,3,5450085,1764624
3432.88,0.0,0.0,0.0,0.0,3,518248,1057661
76455.68,5209018.01,5285473.69,4182421.68,4105965.99,0,5871314,546215
3806.46,10316.83,6510.38,0.0,0.0,3,2913987,2642025
59964.24,0.0,0.0,244603.07,304567.31,1,5678953,378808
2722.61,0.0,0.0,0.0,0.0,3,5921372,2406369
114975.92,81707.0,0.0,0.0,114975.92,1,442070,86478
347312.7,53075.0,0.0,1217617.08,1564929.78,1,1718854,365870
17339.53,100889.0,83549.47,0.0,0.0,3,2631657,868758
32562.89,0.0,0.0,314078.36,346641.25,1,1406854,201005
149128.9,19014041.69,19163170.59,5033319.57,4884190.68,0,557762,301208
247691.45,29845.38,277536.84,603773.04,356081.59,0,6288749,28470
48255.07,115997.0,164252.07,106891.0,0.0,0,1639423,271363
66298.95,60969.0,127267.95,0.0,0.0,0,4651875,231527
363626.22,4310395.0,4674021.23,3996984.58,3633358.35,0,5201197,56219
129349.78,1412490.26,1541840.04,3218832.15,3089482.37,0,2600340,171694
96014.77,0.0,0.0,1088735.94,1184750.71,1,5311415,349693
169113.53,1399225.5,1568339.03,871831.61,702718.08,0,6139609,133756
3476.01,40586.0,37109.99,73765.4,77241.4,1,1537769,451541
117211.25,20399.0,137610.25,0.0,0.0,0,3162225,41071
6291.48,56176.0,49884.52,0.0,0.0,3,3696117,1615431
8375.37,37895.0,29519.63,0.0,0.0,3,1740587,2569767
88615.42,11278.0,0.0,3617.75,92233.16,1,583421,122443
17541.6,12954.7,0.0,0.0,0.0,3,5974929,1340781
1420.82,5107.0,3686.19,0.0,0.0,3,5457714,2265353
8662.02,131014.0,139676.02,0.0,0.0,0,1513021,526034
415566.51,11850.0,427416.51,9511.67,0.0,0,2866801,244121
737.14,10386423.56,10387160.7,356168.96,786350.58,0,5190037,515209
47481.9,0.0,0.0,744897.64,792379.54,1,2310073,496086
278732.6,32149.0,0.0,2420893.86,2699626.46,1,297633,394900
166690.54,10432269.12,10598959.66,2005032.97,1838342.43,0,2239813,36912
370848.51,9940.0,0.0,398546.68,769395.19,1,1382363,253039
133628.83,32166.0,165794.83,4595.15,0.0,0,5619542,12547
145293.42,2980.0,148273.42,0.0,0.0,0,1570634,99479
786.44,181051.85,180265.41,0.0,0.0,3,430540,1431889
1810.14,0.0,0.0,0.0,0.0,3,3247480,2506735
2417.77,59106.0,56688.23,0.0,0.0,3,3418584,2500855
117249.99,26105.0,0.0,30435.45,147685.44,1,4816792,164891
142004.59,3316.0,0.0,121910.65,263915.24,1,5405272,413863
231676.33,0.0,0.0,3637788.68,3869465.0,1,311613,16324
278300.03,1406.0,0.0,1656091.52,2141791.24,1,3014557,61705
2590333.97,0.0,0.0,2859656.03,5449990.0,4,3485413,299469
