amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_en,isFraud
5038.94,2662,0,0,0,3,0
32728.65,27874,0,0,0,3,0
519426.69,16722458.72,17241885.4,4663069.38,4143642.69,0,0
406693.65,0,0,496364.06,984424.07,1,0
351916.36,8083,359999.36,43059.3,0,0,0
1926.85,607,0,0,0,3,0
3202.17,732,0,0,0,3,0
144743.02,6017,0,644477.61,789220.62,1,0
853.36,1062,208.64,0,0,3,0
4986.64,0,0,0,0,3,0
62040.38,0,0,2211814.58,2273854.97,1,0
4740.25,0,0,486820.52,301703.03,1,0
149869.26,50856,0,223911.52,651220,1,0
20304.22,31432,11127.78,12100.36,32404.59,1,0
555624.58,147,0,164.23,693416.92,4,0
12819.63,0,0,0,0,3,0
1028852.71,20246,0,1041815.86,2070668.57,4,0
283.6,5996440.38,5996723.97,1696189.39,1695905.79,0,0
230630.03,3441454.26,3672084.3,979521.53,748891.49,0,0
19578.16,5091,0,0,0,3,0
785.1,193137.28,192352.18,0,0,3,0
17899.13,11692,0,0,0,3,0
82914.11,11220,94134.11,373996.4,291082.29,0,0
105677.03,0,0,2456909.13,2562586.16,1,0
273064.49,0,0,1288210.57,1561275.07,1,0
5130.06,18605.39,13475.33,0,0,3,0
29175.35,40169,10993.65,0,0,3,0
21391.53,42287,20895.47,0,21391.53,1,0
81595.54,20791,0,17605.25,99200.79,1,0
29577.2,153200,123622.8,0,0,3,0
253979.48,10760,0,468545.46,722524.93,1,0
9554.61,0,0,0,0,3,0
25634.56,0,0,203974.01,229608.56,1,0
213399.85,94501,0,4928202.9,5141602.75,4,0
13195.74,0,0,0,0,3,0
245481.3,0,0,699504.78,944986.08,1,0
173663.28,185,0,7831,181494.29,1,0
174230.84,20723,194953.84,0,0,0,0
704477.84,0,0,1268527.8,1973005.63,4,0
21310.21,20668,41978.21,88082.21,66772,0,0
14554.54,0,0,1393557.3,1152887.32,1,0
2981.95,41003,38021.05,0,0,3,0
30656.51,8447254.69,8477911.2,1652056.45,1621399.93,0,0
139046.77,275,0,613514.29,752561.06,1,0
56403.43,9206963.6,9263367.04,1477712.19,1421308.76,0,0
112562.54,30133,0,0,0,1,0
20419.19,1830,0,0,0,3,0
884.31,1011,126.69,0,0,3,0
194605.15,179833,0,218530.16,413135.31,4,0
408068.76,3020954.94,3429023.71,3993259.28,3585190.52,0,0
148278.59,0,0,559236.84,707515.43,1,0
3227.2,14432,11204.8,0,0,3,0
133027.88,27144,0,220791.5,353819.38,1,0
49939.64,262,0,74139.08,124078.72,1,0
14129.62,9301,0,0,0,3,0
281978.35,9947,291925.35,737,230390.92,0,0
95504.16,55753,0,616691.11,712195.27,1,0
558073.69,0,0,783207.52,1341281.21,4,0
62351.34,75280,12928.66,517241,674805.07,1,0
11971.69,94298,82326.31,0,0,3,0
77544.27,680274.4,757818.67,715136.74,637592.47,0,0
251510.3,31041,0,0,251510.3,1,0
122967.11,0,0,315922.83,438889.94,1,0
251952.25,8240,260192.25,1085036.02,833083.76,0,0
20020.61,141116.61,121096.01,0,0,3,0
2748.6,0,0,0,0,3,0
175825.01,0,0,178594.62,354419.63,1,0
25106.06,0,0,0,0,3,0
57023.97,20982,0,1004178.35,1061202.32,1,0
74103.27,259671.74,185568.47,257370.23,331473.5,1,0
37891.64,52001,14109.36,0,37891.64,1,0
35086.5,4395781.93,4430868.43,292022.69,256936.19,0,0
82534.5,773595.05,856129.55,11292790.52,11210256.02,0,0
301.03,319073.96,318772.94,0,0,3,0
393456.7,1555,0,41056.34,434513.04,1,0
118863.93,0,0,140889.72,259753.65,1,0
1561.78,0,0,139168.9,140730.68,1,0
404770.93,31400,436170.93,269953.19,0,0,0
7166.88,0,0,0,0,3,0
499380.8,1434413.45,1933794.24,626865.52,127484.73,0,0
13119.97,15326,2206.03,0,0,3,0
19358.73,0,0,537629.53,556988.26,1,0
7519.23,0,0,0,0,3,0
11361.68,51542,40180.32,0,0,3,0
118961.3,0,0,1506057.47,1625018.77,1,0
4341.45,0,0,0,0,3,0
148070.97,2002,0,2515489.7,2663560.67,1,0
12492.84,468.22,0,0,0,3,0
6473.04,41299.72,34826.68,0,0,3,0
12665.89,0,0,0,0,3,0
10976.29,148427,137450.71,0,0,3,0
18397.48,0,0,0,0,3,0
138507,5523,144030,786575.37,648068.37,0,0
6964.41,2716,0,0,0,3,0
370220.37,20071,390291.37,89778.12,0,0,0
23164.18,20734,0,1834872.55,1858036.73,1,0
1604990.9,0,0,3017624,4622614.9,4,0
26276.22,227103.52,200827.3,0,0,3,0
173404.28,16728,0,1366828.92,1540233.19,1,0
3714.61,5038,1323.39,0,0,3,0
315231.94,50952,0,0,315231.94,1,0
6136.09,219972.52,213836.44,0,0,3,0
46627.9,0,0,0,0,3,0
72955.07,12177753.68,12250708.75,1868927.57,1795972.5,0,0
418737.13,2817457.18,3236194.31,2459896.18,2041159.05,0,0
453595.03,0,0,680669.24,1134264.27,4,0
315238.19,11054,0,514899.77,830137.96,1,0
363.12,740530.27,740167.15,0,0,3,0
15808.02,0,0,73507.28,89315.3,1,0
6380.8,53642,47261.2,560372.09,566752.89,1,0
238453.09,4022912.78,4261365.87,3319125.16,3080672.07,0,0
571289.71,4699959.64,5271249.35,875173.27,352035.21,0,0
32068.6,524466.65,492398.05,0,0,3,0
205114.46,8831862.42,9036976.87,315653.79,110539.34,0,0
73805.84,7469788.39,7543594.23,425152.49,351346.65,0,0
1140474.16,0,0,3434546.68,4575020.84,4,0
16017.72,0,0,0,0,3,0
113025.04,898054.15,1011079.18,1221272.8,1108247.77,0,0
41663.47,0,0,1702851.31,1744514.79,1,0
144375.1,0,0,520757.02,665132.12,1,0
80793.14,130496,211289.14,216790.66,135997.52,0,0
106987.51,0,0,1279502.5,1386490,1,0
11290.06,36051,24760.94,0,0,3,0
35661.78,440,36101.78,3339.11,0,0,0
132195.25,0,0,388634.6,520829.86,4,0
7622.01,4829,0,448988.2,901763.84,1,0
84709.85,62572.18,0,2848932.61,2933642.46,1,0
3393.07,0,0,0,0,3,0
34975.52,0,0,39898.14,74873.66,1,0
1271.01,1881,609.99,2573079.77,2574350.78,2,0
7284.29,0,0,0,0,3,0
16693.07,10200,0,0,0,3,0
324731.73,23151,0,0,324731.73,1,0
66603.69,11575368.71,11641972.4,2303154.41,2236550.72,0,0
462668.1,0,0,11899495.58,12362163.68,1,0
1948.37,18736.09,16787.71,0,0,3,0
226323.76,0,0,233062.73,459386.48,1,0
70790.59,0,0,2379601.45,2450392.04,1,0
3074.2,41519,38444.8,0,0,3,0
85180.51,0,0,439358.55,783681.46,1,0
77425.18,0,0,1783099.45,1860524.63,1,0
85848.84,10736,0,0,0,3,0
70622.64,0,0,644400.31,715022.95,1,0
60111.05,0,0,112552.07,172663.12,1,0
3635328.11,10436,0,273252.13,3908580.24,4,0
394788.96,46109,0,878562.21,1273351.17,1,0
7545.25,21532,13986.75,0,0,3,0
513625.95,12561,0,17469.41,436980.32,1,0
273427.82,1517274.09,1790701.91,2998807.06,2725379.24,0,0
2607.6,21639,19031.4,0,0,3,0
816.44,0,0,0,0,3,0
152123.98,15295473.64,15447597.61,235400.03,83276.05,0,0
193327.4,8163932.05,8357259.46,198540.64,5213.23,0,0
8321.61,19643,11321.39,0,0,3,0
9334.66,1957.31,0,0,0,3,0
508328.07,0,0,1127221.4,1635549.47,1,0
186551.83,60791,0,82330.27,268882.1,1,0
114626.33,6026,120652.33,0,0,0,0
65523.58,933,0,0,0,3,0
279993.03,0,0,976646.65,1256639.68,1,0
23576.28,677285.96,653709.69,0,0,3,0
341710.58,50416,392126.58,158876.25,0,0,0
14842.26,32048.45,17206.19,0,0,3,0
11997957.55,0,0,12447196.39,24445153.94,4,0
89068.41,14740,103808.41,2990615.54,2901547.13,0,0
440680.07,15841,0,3743431.87,4184111.94,1,0
523111.11,0,0,1583965.36,2107076.47,4,0
10615.04,39125.36,28510.31,0,0,3,0
132552.28,0,0,229276.28,361828.56,1,0
98975.8,3825123.06,3924098.85,160840.74,61864.94,0,0
2136.11,550023.88,547887.77,0,0,3,0
34749.34,56772,22022.66,0,34749.34,1,0
203737.03,0,0,316220.57,519957.6,4,0
100969.53,745206.68,644237.16,1120287.73,1221257.26,1,0
166922.22,9704,0,0,166922.22,4,0
20246.79,30244,9997.21,0,0,3,0
500698.98,316628,0,19859,0,4,0
151663.59,147,0,0,151663.59,1,0
224391.54,1270931.64,1495323.18,357207.67,132816.13,0,0
888887.16,0,0,1691575.02,2580462.19,4,0
38749.56,6065,0,0,0,3,0
23709.5,38254,14544.5,0,0,3,0
1002.99,12118,11115.01,0,0,3,0
988204.68,0,0,1826796.49,2815001.17,4,0
78946.39,91851,170797.39,428287.89,349341.5,0,0
3858.9,205800.28,201941.38,0,0,3,0
13546.09,0,0,114223.18,127769.28,1,0
1399.22,0,0,0,0,3,0
242030.09,9325194.11,9567224.2,483873.6,241843.51,0,0
25845.83,0,0,0,0,3,0
4.9,96062.26,96057.36,0,0,3,0
19406.28,190270.6,170864.31,0,0,3,0
22036.15,105809,83772.85,0,0,3,0
68665.93,8171033.95,8239699.88,812274.7,743608.77,0,0
15897.57,38430,22532.43,0,0,3,0
87250.03,0,0,2075912.87,2163162.9,1,0
67147.7,1330147.22,1397294.92,124128.2,56980.49,0,0
211226.92,40635,0,0,211226.92,1,0
12395.85,51213.96,38818.11,0,0,3,0
285632.03,52243.71,337875.74,0,0,0,0
21013.18,0,0,0,0,3,0
4425.8,0,0,0,0,3,0
133241.13,10843787.86,10977028.98,346080.19,212839.07,0,0
4640.44,31844,27203.56,0,0,3,0
427503.76,27624,0,613947.4,1041451.16,1,0
165190.18,0,0,1219248.52,1384438.7,1,0
231894.75,25644,0,202654.11,434548.86,4,0
134528.85,0,0,271816.43,406345.27,1,0
4553.12,0,0,0,0,3,0
16050.32,24360.73,8310.41,0,0,3,0
8988.85,7833,0,0,0,3,0
238805.3,0,0,263026.76,501832.06,1,0
533315.62,0,0,1514949.19,2541728.38,1,0
17455.94,11155,0,0,0,3,0
3752.41,10166,6413.59,0,0,3,0
595.67,0,0,0,0,3,0
49194.93,20683,0,942001.33,991196.27,1,0
17647.97,0,0,0,0,3,0
217365.58,0,0,1493343.36,1710708.94,4,0
349.91,102155,101805.09,0,0,3,0
2847.67,0,0,0,0,3,0
328660.16,24643605.65,24972265.81,743203.72,414543.57,0,0
691694.36,741162.4,1432856.76,4897628.17,4205933.81,0,0
355077.74,0,355077.74,3149408.32,2794330.58,0,0
77380.14,0,0,97492.46,174872.6,1,0
118105.95,17071.01,0,439941.66,558047.61,1,0
8200.25,11440,3239.75,0,0,3,0
294938.98,12348,307286.98,0,0,0,0
285143.18,6460,0,87870.7,373013.88,1,0
451718.08,11778,0,49393.6,501111.68,4,0
145514.28,572,146086.28,0,0,0,0
1416.92,172461.86,171044.94,0,0,3,0
324633.29,0,0,4240563.47,4565196.77,1,0
356037.76,214,356251.76,0,0,0,0
388.04,5551,5162.96,0,0,3,0
13382.68,0,0,473907.47,604567.47,1,0
108722.4,7101,0,3671.88,112394.28,1,0
10980.99,16032,5051.01,346728.3,416843.68,1,0
9117.31,308153,299035.69,0,0,3,0
44357.36,240,0,0,0,3,0
10215.92,127247.2,117031.29,0,0,3,0
17555.22,0,0,0,0,3,0
249873.27,0,0,370895.8,620769.07,1,0
20853.31,3076,0,0,0,3,0
151597.36,0,0,3082085.02,3233682.38,1,0
232585.8,165562,0,2026650.21,2259236.01,1,0
193646.85,0,0,1584289.82,1777936.67,1,0
2919.72,10785,7865.28,106272.31,109192.03,2,0
35025.56,0,0,106238.48,1966850.36,1,0
68342.8,51719,0,637737.06,565812.34,1,0
165172.6,2590140.06,2755312.66,221628.29,56455.69,0,0
230990.44,0,0,1532626.25,1945749.16,1,0
274808.04,0,0,2584820.79,3960902.05,1,0
45786.65,2476041.25,2521827.9,171283.58,125496.93,0,0
200268.44,20640,0,477756.06,678024.5,1,0
191353.18,4521524.76,4712877.93,593960.23,402607.06,0,0
22774.91,0,0,0,0,3,0
9063.08,242587.29,233524.21,0,0,3,0
160816.78,8027878.52,8188695.3,909528.68,748711.9,0,0
3536.98,2241.22,0,0,0,3,0
210219.54,2908442.89,3118662.43,641613.97,431394.43,0,0
133262.43,0,0,744444.35,877706.78,1,0
2704.36,278488.58,275784.22,0,0,3,0
230292.27,2083,0,112441.92,335241.68,1,0
423485.76,49659,0,0,423485.76,1,0
330688.35,1076294.1,1406982.45,1213810.2,883121.85,0,0
40449.91,0,0,3027081.91,3067531.82,1,0
476298.8,0,0,2010463.39,2486762.19,1,0
132043.51,0,0,2711094.9,2704640.12,1,0
647.86,20912,20264.14,0,0,3,0
25764.72,154263,128498.28,0,0,3,0
34958.7,81227,46268.3,0,34958.7,1,0
12877.22,740280,727402.78,0,0,3,0
312850.64,30496,343346.64,0,0,0,0
2855.88,58594,55738.12,0,0,3,0
111341.32,367645.87,256304.56,544458.75,655800.07,1,0
624723.54,82815,707538.54,221351.15,0,0,0
21766.78,0,0,0,0,3,0
172865.19,6652090.2,6824955.39,6259226.34,7428081.5,0,0
141892.33,40242,182134.33,0,0,0,0
27246.51,1081,0,0,0,3,0
30939.15,45410.95,14471.81,0,0,3,0
72053.03,0,0,471628,499311.82,1,0
3285.57,0,0,0,0,3,0
3545.07,198896.35,195351.28,0,0,3,0
1555.53,0,0,0,0,3,0
216803.7,31471,0,735043.84,951847.53,1,0
206010.19,4171222.97,4377233.16,682863.34,476853.15,0,0
20916.73,0,0,0,0,3,0
40052.27,21440,0,3766586.72,3806638.98,4,0
122300.72,51484,0,0,122300.72,1,0
363240.27,0,0,681084.43,1044324.7,1,0
98094.55,0,0,970471.07,1068565.62,1,0
1945.62,19942,17996.38,0,0,3,0
215151.03,0,0,605742.76,820893.79,1,0
287307.77,0,0,1069474,1356781.77,1,0
407359.73,1692102.35,2099462.08,1529631.96,1122272.22,0,0
369672.98,0,0,2783044.96,3152717.93,1,0
6181.62,0,0,0,0,3,0
19809.05,124243.53,104434.48,0,0,3,0
341986.68,0,0,810210.16,1525083.7,1,0
4466.85,1722.1,0,0,0,3,0
314758.83,10791,325549.83,145219.51,0,0,0
58905.66,0,0,196558.77,255464.43,4,0
10564.56,0,0,0,0,3,0
102450.39,33190,0,0,102450.39,1,0
22161.32,51785,29623.68,0,0,3,0
106790.47,60027,0,153215.55,260006.01,1,0
9813.34,0,0,0,0,3,0
3432.88,0,0,0,0,3,0
76455.68,5209018.01,5285473.69,4182421.68,4105965.99,0,0
3806.46,10316.83,6510.38,0,0,3,0
59964.24,0,0,244603.07,304567.31,1,0
2722.61,0,0,0,0,3,0
114975.92,81707,0,0,114975.92,1,0
347312.7,53075,0,1217617.08,1564929.78,1,0
17339.53,100889,83549.47,0,0,3,0
32562.89,0,0,314078.36,346641.25,1,0
149128.9,19014041.69,19163170.59,5033319.57,4884190.68,0,0
247691.45,29845.38,277536.84,603773.04,356081.59,0,0
48255.07,115997,164252.07,106891,0,0,0
66298.95,60969,127267.95,0,0,0,0
363626.22,4310395,4674021.23,3996984.58,3633358.35,0,0
129349.78,1412490.26,1541840.04,3218832.15,3089482.37,0,0
96014.77,0,0,1088735.94,1184750.71,1,0
169113.53,1399225.5,1568339.03,871831.61,702718.08,0,0
3476.01,40586,37109.99,73765.4,77241.4,1,0
117211.25,20399,137610.25,0,0,0,0
6291.48,56176,49884.52,0,0,3,0
8375.37,37895,29519.63,0,0,3,0
88615.42,11278,0,3617.75,92233.16,1,0
17541.6,12954.7,0,0,0,3,0
1420.82,5107,3686.19,0,0,3,0
8662.02,131014,139676.02,0,0,0,0
415566.51,11850,427416.51,9511.67,0,0,0
737.14,10386423.56,10387160.7,356168.96,786350.58,0,0
47481.9,0,0,744897.64,792379.54,1,0
278732.6,32149,0,2420893.86,2699626.46,1,0
166690.54,10432269.12,10598959.66,2005032.97,1838342.43,0,0
370848.51,9940,0,398546.68,769395.19,1,0
133628.83,32166,165794.83,4595.15,0,0,0
145293.42,2980,148273.42,0,0,0,0
786.44,181051.85,180265.41,0,0,3,0
1810.14,0,0,0,0,3,0
2417.77,59106,56688.23,0,0,3,0
117249.99,26105,0,30435.45,147685.44,1,0
142004.59,3316,0,121910.65,263915.24,1,0
231676.33,0,0,3637788.68,3869465,1,0
278300.03,1406,0,1656091.52,2141791.24,1,0
2590333.97,0,0,2859656.03,5449990,4,0
546652.31,0,0,6784523.24,7331175.55,1,0
324609.22,82113,0,344347.01,668956.24,1,0
86225.56,0,0,135005.87,221231.43,1,0
11631.53,0,0,0,0,3,0
138087.54,0,0,384299.2,522386.74,1,0
8460.8,77718,69257.2,0,0,3,0
6340.43,0,0,0,0,3,0
207366.5,4067443.89,4274810.39,587967.17,713766.93,0,0
9733.56,15315,5581.44,0,0,3,0
73230.68,15318,0,0,73230.68,1,0
18436.47,20257,1820.53,0,0,3,0
23965.21,0,0,0,0,3,0
87925.25,50061,0,3641002.11,3728927.36,1,0
429320.47,0,0,10976962.34,11406282.82,1,0
22786.17,3288491.36,3311277.54,2501114.96,2364068.61,0,0
90076.59,0,0,136337.98,226414.56,4,0
95549.82,0,0,268940.74,364490.56,1,0
7947.18,0,0,0,0,3,0
205411.83,0,0,276021.3,481433.12,1,0
49028.96,0,0,459789.92,508818.88,4,0
5499.69,16166,10666.31,0,0,3,0
339547.49,211535,0,0,339547.49,1,0
184433.86,94883,0,0,184433.86,1,0
193881.19,116377,0,0,193881.19,1,0
152261.69,28149,0,29106.78,181368.47,1,0
209164.1,0,0,1300764.44,1238942.28,1,0
286574.6,0,0,2121464.95,2408039.55,1,0
58143.88,141514,83370.12,0,58143.88,1,0
19389.4,9959,0,887052.72,906442.11,1,0
19539.84,10445,0,0,0,3,0
256494.2,0,0,370828.82,627323.02,1,0
7832.09,0,0,427319.08,435151.17,1,0
3464.31,5668584.64,5672048.95,12927.65,386167.99,0,0
16283.09,46284,30000.91,9139.06,25422.15,1,0
271938.55,20067798.76,20339737.31,1378449.58,1106511.03,0,0
88777.62,179,0,2192157.68,2280935.31,1,0
8179.11,17830.46,9651.35,0,0,3,0
3844.42,1730,0,0,0,3,0
1164.9,107485,106320.1,1527268.42,1528433.32,2,0
3237.48,0,0,0,0,3,0
482259.95,60794,0,5104609.18,5586869.14,1,0
5466.03,0,0,0,0,3,0
142668.71,0,0,181472.99,324141.7,1,0
250567.63,0,0,675552.33,926119.97,1,0
24548.01,446,0,0,0,3,0
315332.63,18976936.18,19292268.81,471967.29,156634.66,0,0
9115.76,56532,47416.24,0,0,3,0
11450.12,117892,106441.88,0,0,3,0
17669.99,5600,23269.99,0,0,0,0
27853.7,1997374.83,2025228.53,174577.09,146723.39,0,0
885.14,553896.29,553011.15,0,0,3,0
263270.68,92686,0,0,263270.68,1,0
111584.6,3465722.02,3577306.62,2584843.56,2473258.96,0,0
238942.83,90397.78,329340.6,20791586.03,20552643.2,0,0
8215.62,118490.28,110274.66,0,0,3,0
7419.61,25329,17909.39,0,0,3,0
141096.85,39842,0,21213,162309.85,1,0
68402.97,30836,0,0,68402.97,1,0
407386.32,25328,0,842600.2,1249986.52,1,0
210077.58,913,0,170089.44,380167.01,1,0
544890.56,0,0,2053719.23,2598609.79,1,0
167869.5,48165,0,2989173.5,3157043,1,0
206351.02,101822,308173.02,540860.44,334509.42,0,0
249781.41,0,0,2326294.43,2576075.84,1,0
15814.75,16598.66,783.91,0,0,3,0
539510.01,11019,0,984887.79,1524397.8,4,0
87646.89,0,0,3597931.72,3685578.61,1,0
14139.44,535559.62,521420.18,0,0,3,0
211633.16,307270.92,95637.75,693794.76,905427.92,1,0
56873.58,361,57234.58,456302.71,399429.13,0,0
3649.81,81953,78303.19,0,0,3,0
128146.55,1603277.07,1731423.62,2182079.87,2053933.32,0,0
223982,540,224522,47833.81,0,0,0
11404.46,18012,6607.54,0,0,3,0
124545.18,204,124749.18,2545493.71,2420948.53,0,0
11921.54,694112.79,682191.25,0,0,3,0
15902.84,0,0,0,0,3,0
137326.07,146,0,1711516.43,1848842.5,4,0
113717.08,4018082.21,4131799.29,2988936.62,2875219.55,0,0
137722.35,0,0,654559.85,792282.2,1,0
230700.85,151358,382058.85,286582.53,55881.68,0,0
270519.08,50,270569.08,781003.12,510484.04,0,0
100193.79,0,0,332839.91,433033.7,1,0
183192.17,0,0,1119959.19,1303151.36,1,0
67336.2,11630,0,316016.79,383352.99,1,0
8003.24,0,0,0,0,3,0
443719.49,0,0,3293159.93,3736879.41,1,0
266960.48,7943996.13,8210956.61,647226.65,412258.89,0,0
17837.01,21892,4054.99,0,0,3,0
10359.13,421043,410683.87,0,0,3,0
8978.64,250417,241438.36,0,0,3,0
121730.94,0,0,152165.16,273896.1,1,0
18057.86,19908.31,1850.45,0,0,3,0
128158.4,0,0,264528.04,392686.44,1,0
95076.14,206034.17,110958.03,561801.48,656877.63,1,0
985874.92,0,0,5662615.79,6648490.71,4,0
23431.96,31183,7751.04,0,0,3,0
57762.33,1759654.6,1817416.92,8685684.56,8627922.23,0,0
53948.17,5512,0,178052.68,232000.85,1,0
303300.92,0,0,8450911.44,8754212.35,1,0
98374.57,6734721.93,6833096.5,28156277.4,28057902.84,0,0
464866.46,32575,0,0,464866.46,1,0
244570.35,7453074.43,7697644.78,281401.13,36830.78,0,0
258613.38,92053,0,528441.11,787054.49,1,0
97589.67,68,0,194721.45,292311.11,1,0
384508.46,0,0,849846.93,1234355.39,1,0
268658.44,383897,115238.56,552835.93,1458248.62,1,0
132151.77,0,0,236626,0,1,0
395304.31,0,0,552203.98,808222.77,4,0
53741.78,277,0,321124.17,374865.95,1,0
319646.11,0,0,4418512.97,4738159.08,1,0
12155.9,0,0,0,0,3,0
47095.44,2121473.26,2168568.71,71385.47,24290.03,0,0
51829.2,3236,0,185438.41,237267.61,1,0
233476.59,0,0,600183.95,833660.53,1,0
16485.97,20859,4373.03,0,0,3,0
235923.86,45858.21,281782.08,406642.37,170718.51,0,0
363791.66,0,0,784751.37,1148543.03,1,0
12025.48,41888.31,29862.84,0,0,3,0
71378.05,0,0,734745.59,806123.64,1,0
38392.21,0,0,0,0,3,0
130995.67,22168,0,9897108.9,10028104.57,1,0
25460.43,29776,4315.57,0,0,3,0
42108.41,0,0,0,0,3,0
6021.36,127546.94,121525.58,0,0,3,0
271562.24,0,0,2934954.49,3206516.74,4,0
47359.36,40442,0,14319003.32,14366362.68,1,0
177428.9,0,0,1576412.12,1895754.26,1,0
21547.12,18214.81,0,0,0,3,0
186434.64,703,187137.64,0,0,0,0
105786.88,0,0,637338.62,743125.5,1,0
180208.86,31942,212150.86,237382.41,57173.55,0,0
42587.32,0,0,0,0,3,0
66692.96,118786.11,52093.15,212349.43,279042.39,1,0
2536.11,0,0,0,0,3,0
3361.14,0,0,0,0,3,0
382871.11,7004569.49,7387440.6,875031.8,492160.69,0,0
1689.38,124845,123155.62,0,0,3,0
2128.4,20915,18786.6,0,0,3,0
51265.97,0,0,87767.73,139033.7,1,0
112943.73,19158,132101.73,549795.19,436851.46,0,0
20277.79,31381,11103.21,0,0,3,0
355207.55,0,0,3798910.78,4154118.32,1,0
20694.57,0,0,183215.5,203910.07,1,0
1540.99,20257,18716.01,57733.69,59274.68,2,0
19998.58,45657.39,25658.81,0,0,3,0
28545.99,35465.52,6919.53,3777092.46,3805638.45,1,0
113561.2,105110,218671.2,6733026.34,6619465.14,0,0
247474.04,8366365.19,8613839.23,2496597.69,2249123.65,0,0
286112.21,13374,0,3765428.2,4051540.41,1,0
8649.51,21067,12417.49,0,0,3,0
240544.11,15138,0,0,251507.08,1,0
220408.49,1945761.4,2166169.9,828106.27,531343.34,0,0
4420.59,0,0,0,0,3,0
488423.21,6867475.1,7355898.31,1360062.57,887756.45,0,0
174925.63,0,0,7153501.13,7328426.76,1,0
8213.9,349243.38,341029.48,0,0,3,0
355061.79,0,0,11387334.06,11742395.85,1,0
229149.99,12482897.06,12712047.05,1350348.22,1121198.23,0,0
17080.78,0,0,0,0,3,0
479832.09,0,0,1421866.94,1901699.03,4,0
79946.03,0,0,4842760.65,4922706.68,1,0
2730.91,42733,40002.09,1806922.67,1809653.57,1,0
4792.22,13286,8493.78,0,0,3,0
5556.96,10027,4470.04,0,0,3,0
262917.64,25980345.26,26243262.9,3741515.58,3478597.94,0,0
229428.85,0,0,1226936.33,1456365.17,1,0
53119.93,0,0,624345.02,677464.95,1,0
14840.3,0,0,0,0,3,0
